Hierarquia;Nome;Area plantada (ha);Area colhida(ha);Quantidade produzida;Rendimento medio (Kg/ha);Valor da producao(R$X1000);Ano 
GR;Norte;525005;523244;964373;1843;422596;2003
GR;Nordeste;2906856;2551910;2945630;1154;1083594;2003
GR;Sudeste;2453320;2435568;10213356;4193;2964099;2003
GR;Sul;5119258;5117778;24127162;4714;6388975;2003
GR;Centro-Oeste;2339553;2337178;10076802;4311;2663712;2003
UF;Rond�nia;105635;105635;197166;1866;86282;2003
UF;Acre;34067;34067;50946;1495;21490;2003
UF;Amazonas;13234;13094;22189;1694;7231;2003
UF;Roraima;16000;15800;28440;1800;14220;2003
UF;Par�;285861;284558;523816;1840;230424;2003
UF;Amap�;1500;1382;1059;766;363;2003
UF;Tocantins;68708;68708;140757;2048;62585;2003
UF;Maranh�o;359550;352676;381679;1082;138448;2003
UF;Piau�;279680;279680;228388;816;87284;2003
UF;Cear�;707891;707891;745317;1052;282064;2003
UF;Rio Grande do Norte;109131;101399;69569;686;29910;2003
UF;Para�ba;182611;167577;123880;739;54878;2003
UF;Pernambuco;283476;166456;81458;489;31849;2003
UF;Alagoas;54078;23734;11889;500;4537;2003
UF;Sergipe;131080;78519;86595;1102;29393;2003
UF;Bahia;799359;673978;1216855;1805;425229;2003
UF;Minas Gerais;1277065;1259408;5326118;4229;1603317;2003
UF;Esp�rito Santo;51390;51295;132287;2578;54256;2003
UF;Rio de Janeiro;10685;10685;22911;2144;9544;2003
UF;Guanabara;...;...;...;...;...;2003
UF;S�o Paulo;1114180;1114180;4732040;4247;1296982;2003
UF;Paran�;2846054;2846054;14390104;5056;3613909;2003
UF;Santa Catarina;856427;856427;4310934;5033;1188931;2003
UF;Rio Grande do Sul;1416777;1415297;5426124;3833;1586134;2003
UF;Mato Grosso do Sul;709198;708858;3071632;4333;755910;2003
UF;Mato Grosso;882658;880623;3192813;3625;873021;2003
UF;Goi�s;716047;716047;3632636;5073;977090;2003
UF;Distrito Federal;31650;31650;179721;5678;57690;2003
MU;Alta Floresta D'Oeste (RO);6717;6717;12091;1800;5260;2003
MU;Ariquemes (RO);1000;1000;1500;1500;660;2003
MU;Cabixi (RO);2200;2200;6600;3000;2904;2003
MU;Cacoal (RO);3300;3300;4950;1500;2178;2003
MU;Cerejeiras (RO);1300;1300;3900;3000;1716;2003
MU;Colorado do Oeste (RO);3660;3660;8052;2200;3543;2003
MU;Corumbiara (RO);3000;3000;6000;2000;2640;2003
MU;Costa Marques (RO);598;598;897;1500;386;2003
MU;Espig�o D'Oeste (RO);1925;1925;3465;1800;1525;2003
MU;Guajar�-Mirim (RO);600;600;720;1200;313;2003
MU;Jaru (RO);3228;3228;5810;1799;2556;2003
MU;Ji-Paran� (RO);1720;1720;3096;1800;1362;2003
MU;Machadinho D'Oeste (RO);3500;3500;4200;1200;1806;2003
MU;Nova Brasil�ndia D'Oeste (RO);900;900;1620;1800;705;2003
MU;Ouro Preto do Oeste (RO);770;770;1232;1600;542;2003
MU;Pimenta Bueno (RO);865;865;1211;1400;533;2003
MU;Porto Velho (RO);1296;1296;1944;1500;855;2003
MU;Presidente M�dici (RO);1558;1558;2337;1500;1028;2003
MU;Rio Crespo (RO);764;764;917;1200;403;2003
MU;Rolim de Moura (RO);1087;1087;1957;1800;861;2003
MU;Santa Luzia D'Oeste (RO);4940;4940;9880;2000;4347;2003
MU;Vilhena (RO);10000;10000;32000;3200;14080;2003
MU;S�o Miguel do Guapor� (RO);1120;1120;1232;1100;530;2003
MU;Nova Mamor� (RO);1464;1464;1757;1200;764;2003
MU;Alvorada D'Oeste (RO);3225;3225;4192;1299;1844;2003
MU;Alto Alegre dos Parecis (RO);3457;3457;6223;1800;2707;2003
MU;Alto Para�so (RO);2800;2800;4480;1600;1971;2003
MU;Buritis (RO);3500;3500;4900;1400;2107;2003
MU;Novo Horizonte do Oeste (RO);2908;2908;5234;1799;2277;2003
MU;Cacaul�ndia (RO);1200;1200;1800;1500;792;2003
MU;Campo Novo de Rond�nia (RO);1408;1408;1971;1399;848;2003
MU;Candeias do Jamari (RO);111;111;120;1081;53;2003
MU;Castanheiras (RO);1042;1042;1500;1439;652;2003
MU;Chupinguaia (RO);2400;2400;4560;1900;2006;2003
MU;Cujubim (RO);400;400;600;1500;258;2003
MU;Governador Jorge Teixeira (RO);1794;1794;2870;1599;1263;2003
MU;Itapu� do Oeste (RO);77;77;85;1103;37;2003
MU;Ministro Andreazza (RO);523;523;785;1500;345;2003
MU;Mirante da Serra (RO);1936;1936;3485;1800;1516;2003
MU;Monte Negro (RO);605;605;726;1200;316;2003
MU;Nova Uni�o (RO);642;642;963;1500;414;2003
MU;Parecis (RO);2244;2244;3366;1500;1464;2003
MU;Pimenteiras do Oeste (RO);240;240;480;2000;211;2003
MU;Primavera de Rond�nia (RO);2443;2443;4642;1900;2042;2003
MU;S�o Felipe D'Oeste (RO);3093;3093;7609;2460;3310;2003
MU;S�o Francisco do Guapor� (RO);2200;2200;3300;1500;1419;2003
MU;Seringueiras (RO);966;966;1449;1500;623;2003
MU;Teixeir�polis (RO);1184;1184;2190;1849;953;2003
MU;Theobroma (RO);2270;2270;3677;1619;1618;2003
MU;Urup� (RO);1654;1654;2977;1799;1295;2003
MU;Vale do Anari (RO);935;935;1028;1099;447;2003
MU;Vale do Para�so (RO);2866;2866;4586;1600;1995;2003
MU;Acrel�ndia (AC);2000;2000;5000;2500;1938;2003
MU;Assis Brasil (AC);300;300;420;1400;142;2003
MU;Brasil�ia (AC);2500;2500;3750;1500;1322;2003
MU;Bujari (AC);1280;1280;1792;1400;721;2003
MU;Capixaba (AC);1264;1264;3160;2500;1150;2003
MU;Cruzeiro do Sul (AC);2851;2851;2281;800;978;2003
MU;Epitaciol�ndia (AC);2400;2400;3600;1500;1452;2003
MU;Feij� (AC);1765;1765;2471;1400;1046;2003
MU;Jord�o (AC);695;695;834;1200;328;2003
MU;M�ncio Lima (AC);359;359;323;899;132;2003
MU;Manoel Urbano (AC);307;307;461;1501;242;2003
MU;Marechal Thaumaturgo (AC);1009;1009;1077;1067;420;2003
MU;Pl�cido de Castro (AC);2450;2450;4459;1820;1911;2003
MU;Porto Walter (AC);398;398;398;1000;128;2003
MU;Rio Branco (AC);811;811;1217;1500;491;2003
MU;Rodrigues Alves (AC);409;409;342;836;179;2003
MU;Santa Rosa do Purus (AC);15;15;18;1200;9;2003
MU;Senador Guiomard (AC);1440;1440;2520;1750;921;2003
MU;Sena Madureira (AC);4671;4671;7007;1500;3679;2003
MU;Tarauac� (AC);3548;3548;4311;1215;2026;2003
MU;Xapuri (AC);1430;1430;1716;1200;761;2003
MU;Porto Acre (AC);2165;2165;3789;1750;1516;2003
MU;Alvar�es (AM);10;9;9;1000;4;2003
MU;Amatur� (AM);19;15;9;600;4;2003
MU;Anam� (AM);103;100;209;2090;52;2003
MU;Anori (AM);25;25;95;3800;32;2003
MU;Apu� (AM);2800;2800;6800;2428;1700;2003
MU;Atalaia do Norte (AM);61;60;48;800;28;2003
MU;Autazes (AM);126;124;259;2088;65;2003
MU;Barcelos (AM);-;-;-;-;-;2003
MU;Barreirinha (AM);40;40;120;3000;26;2003
MU;Benjamin Constant (AM);390;387;480;1240;62;2003
MU;Beruri (AM);109;105;105;1000;47;2003
MU;Boa Vista do Ramos (AM);6;6;11;1833;2;2003
MU;Boca do Acre (AM);1128;1126;1239;1100;595;2003
MU;Borba (AM);-;-;-;-;-;2003
MU;Caapiranga (AM);22;21;34;1619;18;2003
MU;Canutama (AM);30;30;36;1200;14;2003
MU;Carauari (AM);380;380;380;1000;167;2003
MU;Careiro (AM);-;-;-;-;-;2003
MU;Careiro da V�rzea (AM);237;237;368;1552;158;2003
MU;Coari (AM);260;256;640;2500;269;2003
MU;Codaj�s (AM);110;110;275;2500;94;2003
MU;Eirunep� (AM);120;120;132;1100;40;2003
MU;Envira (AM);575;570;781;1370;250;2003
MU;Fonte Boa (AM);287;286;172;601;69;2003
MU;Guajar� (AM);138;136;369;2713;118;2003
MU;Humait� (AM);300;300;675;2250;364;2003
MU;Ipixuna (AM);105;100;200;2000;90;2003
MU;Iranduba (AM);200;200;534;2670;75;2003
MU;Itacoatiara (AM);1200;1200;2400;2000;840;2003
MU;Itamarati (AM);107;105;105;1000;13;2003
MU;Itapiranga (AM);6;6;6;1000;1;2003
MU;Japur� (AM);1;1;2;2000;1;2003
MU;Juru� (AM);7;6;6;1000;1;2003
MU;Juta� (AM);74;72;94;1305;36;2003
MU;L�brea (AM);386;384;230;598;104;2003
MU;Manacapuru (AM);600;540;1080;2000;486;2003
MU;Manaquiri (AM);264;264;296;1121;124;2003
MU;Manaus (AM);12;12;15;1250;4;2003
MU;Manicor� (AM);750;750;900;1200;450;2003
MU;Mara� (AM);14;12;26;2166;3;2003
MU;Mau�s (AM);150;150;280;1866;112;2003
MU;Nhamund� (AM);61;60;105;1750;38;2003
MU;Nova Olinda do Norte (AM);42;42;84;2000;31;2003
MU;Novo Air�o (AM);8;8;22;2750;9;2003
MU;Novo Aripuan� (AM);260;240;288;1200;86;2003
MU;Parintins (AM);105;105;294;2800;115;2003
MU;Pauini (AM);624;624;437;700;68;2003
MU;Presidente Figueiredo (AM);95;95;209;2200;71;2003
MU;Rio Preto da Eva (AM);2;2;4;2000;1;2003
MU;Santa Isabel do Rio Negro (AM);-;-;-;-;-;2003
MU;Santo Ant�nio do I�� (AM);71;70;119;1700;54;2003
MU;S�o Gabriel da Cachoeira (AM);6;4;13;3250;1;2003
MU;S�o Paulo de Oliven�a (AM);72;70;86;1228;43;2003
MU;S�o Sebasti�o do Uatum� (AM);5;4;3;750;1;2003
MU;Silves (AM);80;80;80;1000;20;2003
MU;Tabatinga (AM);6;5;10;2000;2;2003
MU;Tapau� (AM);10;10;12;1200;2;2003
MU;Tef� (AM);195;195;488;2502;78;2003
MU;Tonantins (AM);82;80;160;2000;32;2003
MU;Uarini (AM);-;-;-;-;-;2003
MU;Urucar� (AM);173;172;172;1000;34;2003
MU;Urucurituba (AM);185;183;183;1000;27;2003
MU;Amajari (RR);930;920;1200;1304;600;2003
MU;Alto Alegre (RR);2150;2140;4300;2009;2150;2003
MU;Boa Vista (RR);1320;1300;3100;2384;1550;2003
MU;Bonfim (RR);1460;1450;3100;2137;1550;2003
MU;Cant� (RR);1590;1570;3300;2101;1650;2003
MU;Caracara� (RR);810;800;1100;1375;550;2003
MU;Caroebe (RR);250;250;340;1360;170;2003
MU;Iracema (RR);860;850;1200;1411;600;2003
MU;Mucaja� (RR);1880;1850;3900;2108;1950;2003
MU;Normandia (RR);1040;1000;1800;1800;900;2003
MU;Pacaraima (RR);740;730;1400;1917;700;2003
MU;Rorain�polis (RR);1400;1380;1800;1304;900;2003
MU;S�o Jo�o da Baliza (RR);330;330;400;1212;200;2003
MU;S�o Luiz (RR);840;830;1000;1204;500;2003
MU;Uiramut� (RR);400;400;500;1250;250;2003
MU;Abaetetuba (PA);50;50;20;400;6;2003
MU;Abel Figueiredo (PA);850;850;1020;1200;388;2003
MU;Acar� (PA);240;240;216;900;43;2003
MU;Afu� (PA);380;380;370;973;148;2003
MU;�gua Azul do Norte (PA);1270;1270;3565;2807;2068;2003
MU;Alenquer (PA);3500;3500;7760;2217;2600;2003
MU;Almeirim (PA);20;20;20;1000;10;2003
MU;Altamira (PA);6830;6830;13936;2040;5783;2003
MU;Anaj�s (PA);70;70;70;1000;18;2003
MU;Ananindeua (PA);...;...;...;...;...;2003
MU;Anapu (PA);900;900;1080;1200;432;2003
MU;Augusto Corr�a (PA);350;350;290;828;103;2003
MU;Aurora do Par� (PA);5020;5020;4518;900;2530;2003
MU;Aveiro (PA);600;600;720;1200;202;2003
MU;Bagre (PA);100;100;60;600;12;2003
MU;Bai�o (PA);800;800;640;800;448;2003
MU;Bannach (PA);8934;8934;22335;2500;12954;2003
MU;Barcarena (PA);300;300;270;900;76;2003
MU;Bel�m (PA);...;...;...;...;...;2003
MU;Belterra (PA);1800;1800;5040;2800;1915;2003
MU;Benevides (PA);...;...;...;...;...;2003
MU;Bom Jesus do Tocantins (PA);880;880;1088;1236;495;2003
MU;Bonito (PA);400;400;300;750;57;2003
MU;Bragan�a (PA);950;950;570;600;205;2003
MU;Brasil Novo (PA);520;520;1332;2561;488;2003
MU;Brejo Grande do Araguaia (PA);1400;1400;2475;1767;371;2003
MU;Breu Branco (PA);1500;1500;1090;726;763;2003
MU;Breves (PA);300;300;180;600;45;2003
MU;Bujaru (PA);100;100;85;850;26;2003
MU;Cachoeira do Piri� (PA);940;940;658;700;197;2003
MU;Cachoeira do Arari (PA);30;20;8;400;3;2003
MU;Camet� (PA);25;25;15;600;4;2003
MU;Cana� dos Caraj�s (PA);2000;2000;8780;4390;3652;2003
MU;Capanema (PA);750;750;1290;1720;361;2003
MU;Capit�o Po�o (PA);2050;2050;2925;1426;775;2003
MU;Castanhal (PA);1100;1100;770;700;308;2003
MU;Chaves (PA);25;23;19;826;6;2003
MU;Colares (PA);50;50;25;500;5;2003
MU;Concei��o do Araguaia (PA);8000;8000;14744;1843;5603;2003
MU;Conc�rdia do Par� (PA);850;850;595;700;178;2003
MU;Cumaru do Norte (PA);5000;5000;6000;1200;1500;2003
MU;Curion�polis (PA);950;950;1305;1373;218;2003
MU;Curralinho (PA);50;50;30;600;6;2003
MU;Curu� (PA);250;250;300;1200;120;2003
MU;Curu�� (PA);50;50;30;600;6;2003
MU;Dom Eliseu (PA);8200;8200;30000;3658;12450;2003
MU;Eldorado do Caraj�s (PA);6000;6000;11000;1833;6380;2003
MU;Faro (PA);80;40;24;600;7;2003
MU;Floresta do Araguaia (PA);3500;3500;7000;2000;4550;2003
MU;Garraf�o do Norte (PA);1560;1560;3120;2000;624;2003
MU;Goian�sia do Par� (PA);550;550;220;400;55;2003
MU;Gurup� (PA);12;12;10;833;5;2003
MU;Igarap�-A�u (PA);100;100;90;900;36;2003
MU;Igarap�-Miri (PA);150;150;60;400;17;2003
MU;Inhangapi (PA);210;210;147;700;34;2003
MU;Ipixuna do Par� (PA);3640;3640;7068;1941;4029;2003
MU;Irituia (PA);150;150;90;600;18;2003
MU;Itaituba (PA);2350;2150;3300;1534;1320;2003
MU;Itupiranga (PA);3300;3300;2831;857;991;2003
MU;Jacareacanga (PA);100;100;100;1000;35;2003
MU;Jacund� (PA);2500;2500;5400;2160;1026;2003
MU;Juruti (PA);300;300;300;1000;120;2003
MU;Limoeiro do Ajuru (PA);15;15;7;466;3;2003
MU;M�e do Rio (PA);430;430;620;1441;397;2003
MU;Magalh�es Barata (PA);300;300;270;900;108;2003
MU;Marab� (PA);6500;6500;8880;1366;2930;2003
MU;Maracan� (PA);430;430;299;695;120;2003
MU;Marapanim (PA);100;100;80;800;16;2003
MU;Marituba (PA);...;...;...;...;...;2003
MU;Medicil�ndia (PA);1500;1500;2900;1933;1208;2003
MU;Melga�o (PA);12;12;8;666;2;2003
MU;Mocajuba (PA);100;100;60;600;36;2003
MU;Moju (PA);1000;1000;600;600;168;2003
MU;Moju� dos Campos (PA);...;...;...;...;...;2003
MU;Monte Alegre (PA);37000;37000;81700;2208;35948;2003
MU;Muan� (PA);60;40;16;400;8;2003
