Hierarquia;Nome;Area plantada (ha);Area colhida(ha);Quantidade produzida;Rendimento medio (Kg/ha);Valor da producao(R$X1000);Ano
GR;Norte;1052300;1051486;4025171;3828;5101456;2021
GR;Nordeste;2727203;2532543;8228990;3249;9708744;2021
GR;Sudeste;1890996;1851496;10548964;5698;16126751;2021
GR;Sul;3975914;3862689;16925171;4382;23560229;2021
GR;Centro-Oeste;9901546;9686086;48543820;5012;61644348;2021
UF;Rond�nia;295980;295312;1232783;4175;1471400;2021
UF;Acre;34105;34105;105885;3105;130992;2021
UF;Amazonas;2882;2814;6363;2261;6989;2021
UF;Roraima;21373;21373;114159;5341;203531;2021
UF;Par�;362071;362071;1122835;3101;1360008;2021
UF;Amap�;1338;1310;1186;905;1047;2021
UF;Tocantins;334551;334501;1441960;4311;1927489;2021
UF;Maranh�o;483152;483152;2267556;4693;2576633;2021
UF;Piau�;521923;505354;2145035;4245;2725435;2021
UF;Cear�;557785;557785;414411;743;573501;2021
UF;Rio Grande do Norte;45473;27423;13345;487;17656;2021
UF;Para�ba;86374;73531;48172;655;56852;2021
UF;Pernambuco;183755;104774;66281;633;101181;2021
UF;Alagoas;55778;32785;82272;2509;114501;2021
UF;Sergipe;175237;165543;741765;4481;943785;2021
UF;Bahia;617726;582196;2450153;4208;2599200;2021
UF;Minas Gerais;1193535;1155546;6788836;5875;10887818;2021
UF;Esp�rito Santo;13787;13787;41670;3022;63169;2021
UF;Rio de Janeiro;2019;2019;8557;4238;11704;2021
UF;Guanabara;...;...;...;...;...;2021
UF;S�o Paulo;681655;680144;3709901;5455;5164060;2021
UF;Paran�;2856885;2751186;10528860;3827;15040284;2021
UF;Santa Catarina;338887;335421;2006694;5983;2615663;2021
UF;Rio Grande do Sul;780142;776082;4389617;5656;5904282;2021
UF;Mato Grosso do Sul;2150745;1957745;5418082;2768;8029312;2021
UF;Mato Grosso;5808096;5808096;32051305;5518;38447535;2021
UF;Goi�s;1882705;1860245;10750433;5779;14757501;2021
UF;Distrito Federal;60000;60000;324000;5400;409999;2021
MU;Alta Floresta D'Oeste (RO);10562;10562;31550;2987;41606;2021
MU;Ariquemes (RO);1900;1900;6840;3600;10007;2021
MU;Cabixi (RO);22620;22620;102163;4516;126399;2021
MU;Cacoal (RO);2859;2859;4763;1666;5528;2021
MU;Cerejeiras (RO);28050;28050;127074;4530;157446;2021
MU;Colorado do Oeste (RO);2280;2280;10292;4514;12727;2021
MU;Corumbiara (RO);34520;34520;157038;4549;194585;2021
MU;Costa Marques (RO);120;120;181;1508;219;2021
MU;Espig�o D'Oeste (RO);3484;3484;8362;2400;9852;2021
MU;Guajar�-Mirim (RO);50;50;161;3220;92;2021
MU;Jaru (RO);200;180;361;2006;497;2021
MU;Ji-Paran� (RO);40;40;72;1800;78;2021
MU;Machadinho D'Oeste (RO);350;350;872;2491;1320;2021
MU;Nova Brasil�ndia D'Oeste (RO);990;990;1140;1152;1370;2021
MU;Ouro Preto do Oeste (RO);30;30;45;1500;49;2021
MU;Pimenta Bueno (RO);2019;2019;4050;2006;5295;2021
MU;Porto Velho (RO);12405;12405;51438;4147;24126;2021
MU;Presidente M�dici (RO);200;200;420;2100;460;2021
MU;Rio Crespo (RO);8150;8150;34230;4200;47922;2021
MU;Rolim de Moura (RO);4800;4800;5080;1058;6327;2021
MU;Santa Luzia D'Oeste (RO);2539;2539;8336;3283;10862;2021
MU;Vilhena (RO);33015;33015;165046;4999;204511;2021
MU;S�o Miguel do Guapor� (RO);6884;6884;16549;2404;18190;2021
MU;Nova Mamor� (RO);1200;1200;1922;1602;1062;2021
MU;Alvorada D'Oeste (RO);170;170;306;1800;334;2021
MU;Alto Alegre dos Parecis (RO);24500;24500;144045;5879;153312;2021
MU;Alto Para�so (RO);10728;10080;30264;3002;46513;2021
MU;Buritis (RO);900;900;2127;2363;3099;2021
MU;Novo Horizonte do Oeste (RO);1885;1885;2160;1146;2792;2021
MU;Cacaul�ndia (RO);-;-;-;-;-;2021
MU;Campo Novo de Rond�nia (RO);420;420;1505;3583;2182;2021
MU;Candeias do Jamari (RO);2400;2400;14400;6000;7161;2021
MU;Castanheiras (RO);3176;3176;6853;2158;9133;2021
MU;Chupinguaia (RO);20060;20060;93992;4686;116445;2021
