Hierarquia;Nome;Area plantada (ha);Area colhida(ha);Quantidade produzida;Rendimento medio (Kg/ha);Valor da producao(R$X1000);Ano 
GR;Norte;558921;556388;1071982;1926;382812;2004
GR;Nordeste;2928620;2651567;2898693;1093;907969;2004
GR;Sudeste;2487931;2454589;10753843;4381;3044514;2004
GR;Sul;4589581;4453297;17569214;3945;5113257;2004
GR;Centro-Oeste;2299785;2294836;9493826;4137;2146960;2004
UF;Rond�nia;120686;120686;240380;1991;60903;2004
UF;Acre;43473;43473;68252;1569;17437;2004
UF;Amazonas;12910;12902;24956;1934;7702;2004
UF;Roraima;12200;12000;24000;2000;12960;2004
UF;Par�;294692;294222;570311;1938;230046;2004
UF;Amap�;1625;1280;926;723;419;2004
UF;Tocantins;73335;71825;143157;1993;53346;2004
UF;Maranh�o;371423;370768;408853;1102;127473;2004
UF;Piau�;299654;274588;134114;488;48522;2004
UF;Cear�;655677;655677;379837;579;145449;2004
UF;Rio Grande do Norte;124587;87143;60570;695;25874;2004
UF;Para�ba;194527;163329;72899;446;25084;2004
UF;Pernambuco;273978;210053;65746;312;25489;2004
UF;Alagoas;65420;45103;29833;661;10674;2004
UF;Sergipe;132389;91560;136317;1488;39212;2004
UF;Bahia;810965;753346;1610524;2137;460194;2004
UF;Minas Gerais;1352607;1319380;5952172;4511;1684579;2004
UF;Esp�rito Santo;50207;50147;129579;2583;46585;2004
UF;Rio de Janeiro;11497;11442;24852;2171;8715;2004
UF;Guanabara;...;...;...;...;...;2004
UF;S�o Paulo;1073620;1073620;4647240;4328;1304636;2004
UF;Paran�;2470151;2470151;10934582;4426;3029774;2004
UF;Santa Catarina;816133;783623;3257770;4157;993309;2004
UF;Rio Grande do Sul;1303297;1199523;3376862;2815;1090174;2004
UF;Mato Grosso do Sul;629034;624318;2374015;3802;535426;2004
UF;Mato Grosso;941125;941092;3408968;3622;656710;2004
UF;Goi�s;696524;696324;3523279;5059;895179;2004
UF;Distrito Federal;33102;33102;187564;5666;59645;2004
MU;Alta Floresta D'Oeste (RO);7725;7725;14755;1910;3763;2004
MU;Ariquemes (RO);1600;1600;2560;1600;653;2004
MU;Cabixi (RO);2200;2200;5280;2400;1346;2004
MU;Cacoal (RO);3630;3630;5445;1500;1388;2004
