Hierarquia;Nome;Area plantada (ha);Area colhida(ha);Quantidade produzida;Rendimento medio (Kg/ha);Valor da producao(R$X1000);Ano 
GR;Norte;573646;549721;1887892;3434;1209487;2016
GR;Nordeste;2459302;1939591;3161555;1630;2344659;2016
GR;Sudeste;2101896;1983025;10481710;5286;6978526;2016
GR;Sul;3684934;3675595;21190300;5765;12250443;2016
GR;Centro-Oeste;7231309;6822570;27466857;4026;14909900;2016
UF;Rond�nia;166818;157518;602411;3824;329345;2016
UF;Acre;36387;36387;82329;2263;58053;2016
UF;Amazonas;3920;3880;9929;2559;9769;2016
UF;Roraima;5130;5090;17013;3342;17627;2016
UF;Par�;198461;197261;643008;3260;470505;2016
UF;Amap�;1672;1546;1517;981;930;2016
UF;Tocantins;161258;148039;531685;3592;323258;2016
UF;Maranh�o;334109;332713;682791;2052;511467;2016
UF;Piau�;483738;410197;600690;1464;474951;2016
UF;Cear�;475646;473696;114675;242;105531;2016
UF;Rio Grande do Norte;36866;7700;2943;382;3005;2016
UF;Para�ba;83798;68209;12613;185;11505;2016
UF;Pernambuco;222514;91859;13364;145;12583;2016
UF;Alagoas;29510;8657;13057;1508;12809;2016
UF;Sergipe;172285;88618;140962;1591;105918;2016
UF;Bahia;620836;457942;1580460;3451;1106890;2016
UF;Minas Gerais;1219262;1102087;5843579;5302;4185139;2016
UF;Esp�rito Santo;13305;13161;37897;2879;31080;2016
UF;Rio de Janeiro;2817;2812;7563;2690;7877;2016
UF;Guanabara;...;...;...;...;...;2016
UF;S�o Paulo;866512;864965;4592671;5310;2754431;2016
UF;Paran�;2584083;2576884;13929989;5406;7672260;2016
UF;Santa Catarina;360341;360341;2530363;7022;1638510;2016
UF;Rio Grande do Sul;740510;738370;4729948;6406;2939673;2016
UF;Mato Grosso do Sul;1686337;1678387;6029756;3593;3283709;2016
UF;Mato Grosso;3900268;3736321;15339785;4106;7728230;2016
UF;Goi�s;1574541;1337699;5804842;4339;3704881;2016
UF;Distrito Federal;70163;70163;292474;4168;193080;2016
MU;Alta Floresta D'Oeste (RO);6528;6528;15667;2400;10340;2016
MU;Ariquemes (RO);712;697;2450;3515;1470;2016
MU;Cabixi (RO);7020;4020;16860;4194;8931;2016
MU;Cacoal (RO);2139;2139;3616;1691;2211;2016
MU;Cerejeiras (RO);14050;13050;45660;3499;25226;2016
MU;Colorado do Oeste (RO);1650;1650;6630;4018;3428;2016
MU;Corumbiara (RO);16100;14100;49300;3496;25814;2016
MU;Costa Marques (RO);10;10;15;1500;11;2016
MU;Espig�o D'Oeste (RO);2109;2109;5062;2400;3323;2016
MU;Guajar�-Mirim (RO);40;40;90;2250;49;2016
MU;Jaru (RO);320;298;596;2000;298;2016
MU;Ji-Paran� (RO);600;600;1080;1800;450;2016
MU;Machadinho D'Oeste (RO);1150;1150;3330;2896;2131;2016
MU;Nova Brasil�ndia D'Oeste (RO);460;460;552;1200;332;2016
MU;Ouro Preto do Oeste (RO);200;200;600;3000;230;2016
MU;Pimenta Bueno (RO);474;474;853;1800;551;2016
MU;Porto Velho (RO);5638;5638;20454;3628;11572;2016
MU;Presidente M�dici (RO);280;280;588;2100;225;2016
MU;Rio Crespo (RO);3500;3500;6850;1957;4384;2016
MU;Rolim de Moura (RO);1150;1150;2289;1990;1383;2016
MU;Santa Luzia D'Oeste (RO);400;400;960;2400;576;2016
MU;Vilhena (RO);46020;46020;230066;4999;122644;2016
MU;S�o Miguel do Guapor� (RO);6200;6200;14892;2402;8687;2016
MU;Nova Mamor� (RO);836;836;1003;1200;547;2016
MU;Alvorada D'Oeste (RO);300;300;540;1800;207;2016
MU;Alto Alegre dos Parecis (RO);6250;6250;18750;3000;12333;2016
MU;Alto Para�so (RO);1080;964;2834;2940;1235;2016
MU;Buritis (RO);220;178;431;2421;259;2016
MU;Novo Horizonte do Oeste (RO);526;526;559;1063;392;2016
MU;Cacaul�ndia (RO);45;45;81;1800;49;2016
MU;Campo Novo de Rond�nia (RO);330;330;288;873;190;2016
MU;Candeias do Jamari (RO);800;800;1180;1475;620;2016
MU;Castanheiras (RO);1750;1750;3675;2100;2186;2016
MU;Chupinguaia (RO);12060;12060;72216;5988;38467;2016
MU;Cujubim (RO);765;755;1987;2632;1272;2016
MU;Governador Jorge Teixeira (RO);250;220;566;2573;318;2016
MU;Itapu� do Oeste (RO);800;800;1870;2338;998;2016
MU;Ministro Andreazza (RO);450;450;870;1933;573;2016
MU;Mirante da Serra (RO);2500;2500;4875;1950;1869;2016
MU;Monte Negro (RO);60;40;60;1500;36;2016
MU;Nova Uni�o (RO);600;600;1260;2100;483;2016
MU;Parecis (RO);150;150;225;1500;135;2016
MU;Pimenteiras do Oeste (RO);16002;13002;52007;4000;27725;2016
MU;Primavera de Rond�nia (RO);118;118;264;2237;158;2016
MU;S�o Felipe D'Oeste (RO);1344;1344;3226;2400;2129;2016
MU;S�o Francisco do Guapor� (RO);500;500;1000;2000;583;2016
MU;Seringueiras (RO);450;450;1080;2400;636;2016
MU;Teixeir�polis (RO);100;100;285;2850;108;2016
MU;Theobroma (RO);737;737;884;1199;407;2016
MU;Urup� (RO);345;345;517;1499;185;2016
MU;Vale do Anari (RO);600;555;1238;2231;916;2016
MU;Vale do Para�so (RO);100;100;180;1800;64;2016
MU;Acrel�ndia (AC);1310;1310;3799;2900;2589;2016
MU;Assis Brasil (AC);700;700;1128;1611;790;2016
MU;Brasil�ia (AC);1650;1650;4290;2600;3003;2016
MU;Bujari (AC);1900;1900;3420;1800;2315;2016
MU;Capixaba (AC);1890;1890;5670;3000;3850;2016
MU;Cruzeiro do Sul (AC);1463;1463;2002;1368;1562;2016
MU;Epitaciol�ndia (AC);2000;2000;5800;2900;4118;2016
MU;Feij� (AC);3200;3200;5920;1850;4144;2016
MU;Jord�o (AC);520;520;936;1800;749;2016
MU;M�ncio Lima (AC);850;850;1081;1272;931;2016
MU;Manoel Urbano (AC);816;816;1399;1714;925;2016
MU;Marechal Thaumaturgo (AC);650;650;748;1151;673;2016
MU;Pl�cido de Castro (AC);1323;1323;3308;2500;2247;2016
MU;Porto Walter (AC);415;415;558;1345;450;2016
MU;Rio Branco (AC);2800;2800;8652;3090;5793;2016
MU;Rodrigues Alves (AC);1150;1150;1425;1239;1205;2016
MU;Santa Rosa do Purus (AC);250;250;351;1404;290;2016
MU;Senador Guiomard (AC);3100;3100;9257;2986;6434;2016
MU;Sena Madureira (AC);2400;2400;5040;2100;3722;2016
MU;Tarauac� (AC);3500;3500;6475;1850;4986;2016
MU;Xapuri (AC);1800;1800;3240;1800;2171;2016
MU;Porto Acre (AC);2700;2700;7830;2900;5108;2016
MU;Alvar�es (AM);2;2;6;3000;5;2016
MU;Amatur� (AM);5;4;11;2750;17;2016
MU;Anam� (AM);40;40;40;1000;60;2016
MU;Anori (AM);-;-;-;-;-;2016
MU;Apu� (AM);300;300;630;2100;630;2016
MU;Atalaia do Norte (AM);50;50;150;3000;300;2016
MU;Autazes (AM);10;10;30;3000;21;2016
MU;Barcelos (AM);3;3;9;3000;18;2016
MU;Barreirinha (AM);12;12;31;2583;28;2016
MU;Benjamin Constant (AM);-;-;-;-;-;2016
MU;Beruri (AM);-;-;-;-;-;2016
MU;Boa Vista do Ramos (AM);1;-;-;-;-;2016
MU;Boca do Acre (AM);600;600;1500;2500;1800;2016
MU;Borba (AM);20;20;60;3000;54;2016
MU;Caapiranga (AM);-;-;-;-;-;2016
MU;Canutama (AM);27;27;216;8000;324;2016
MU;Carauari (AM);25;25;75;3000;84;2016
MU;Careiro (AM);22;22;48;2182;46;2016
MU;Careiro da V�rzea (AM);-;-;-;-;-;2016
MU;Coari (AM);10;10;30;3000;36;2016
MU;Codaj�s (AM);-;-;-;-;-;2016
MU;Eirunep� (AM);208;208;416;2000;582;2016
MU;Envira (AM);300;300;540;1800;540;2016
MU;Fonte Boa (AM);38;38;71;1868;71;2016
MU;Guajar� (AM);-;-;-;-;-;2016
MU;Humait� (AM);30;20;60;3000;36;2016
MU;Ipixuna (AM);43;39;117;3000;117;2016
MU;Iranduba (AM);10;10;20;2000;16;2016
MU;Itacoatiara (AM);430;430;1075;2500;720;2016
MU;Itamarati (AM);-;-;-;-;-;2016
MU;Itapiranga (AM);30;30;90;3000;57;2016
MU;Japur� (AM);5;5;12;2400;10;2016
MU;Juru� (AM);5;5;15;3000;11;2016
MU;Juta� (AM);5;4;12;3000;12;2016
MU;L�brea (AM);100;95;285;3000;171;2016
MU;Manacapuru (AM);622;622;1867;3002;1456;2016
MU;Manaquiri (AM);66;66;192;2909;182;2016
MU;Manaus (AM);10;10;30;3000;48;2016
MU;Manicor� (AM);-;-;-;-;-;2016
