Hierarquia;Nome;Area plantada (ha);Area colhida(ha);Quantidade produzida;Rendimento medio (Kg/ha);Valor da producao(R$X1000);Ano 
GR;Norte;552374;551838;1082683;1961;357466;2005
GR;Nordeste;2747896;2615608;2933266;1121;840624;2005
GR;Sudeste;2488554;2485779;10486951;4218;2964860;2005
GR;Sul;4169172;3724476;12752615;3424;3478353;2005
GR;Centro-Oeste;2291105;2171724;7857797;3618;1817858;2005
UF;Rond�nia;122050;122050;245198;2008;65171;2005
UF;Acre;40837;40837;60979;1493;18774;2005
UF;Amazonas;19033;18943;34890;1841;12833;2005
UF;Roraima;12200;12000;24000;2000;12000;2005
UF;Par�;278504;278258;559698;2011;199712;2005
UF;Amap�;1568;1568;1330;848;627;2005
UF;Tocantins;78182;78182;156588;2002;48349;2005
UF;Maranh�o;381663;376213;402787;1070;122267;2005
UF;Piau�;295017;290179;191839;661;64325;2005
UF;Cear�;568753;566846;281713;496;115734;2005
UF;Rio Grande do Norte;63084;49763;23116;464;10083;2005
UF;Para�ba;163255;152855;61386;401;21734;2005
UF;Pernambuco;270689;207174;115949;559;41816;2005
UF;Alagoas;76590;72565;34435;474;11881;2005
UF;Sergipe;126551;126551;205577;1624;47036;2005
UF;Bahia;802294;773462;1616464;2089;405748;2005
UF;Minas Gerais;1356279;1353544;6243873;4612;1797698;2005
UF;Esp�rito Santo;45920;45900;122212;2662;48594;2005
UF;Rio de Janeiro;11834;11814;26970;2282;10037;2005
UF;Guanabara;...;...;...;...;...;2005
UF;S�o Paulo;1074521;1074521;4093896;3809;1108531;2005
UF;Paran�;2166993;2028372;8572364;4226;2256046;2005
UF;Santa Catarina;796060;730518;2695211;3689;749904;2005
UF;Rio Grande do Sul;1206119;965586;1485040;1537;472403;2005
UF;Mato Grosso do Sul;565997;476497;1291901;2711;274816;2005
UF;Mato Grosso;1073146;1043815;3483266;3337;799379;2005
UF;Goi�s;615259;614709;2855538;4645;690336;2005
UF;Distrito Federal;36703;36703;227092;6187;53328;2005
MU;Alta Floresta D'Oeste (RO);8100;8100;12150;1500;3281;2005
MU;Ariquemes (RO);2130;2130;3834;1800;1035;2005
MU;Cabixi (RO);2200;2200;5280;2400;1373;2005
MU;Cacoal (RO);3735;3735;5603;1500;1513;2005
MU;Cerejeiras (RO);2500;2500;7500;3000;2025;2005
MU;Colorado do Oeste (RO);3600;3600;8640;2400;2333;2005
MU;Corumbiara (RO);3602;3602;10806;3000;2810;2005
MU;Costa Marques (RO);1300;1300;1170;900;316;2005
MU;Espig�o D'Oeste (RO);2300;2300;5520;2400;1490;2005
MU;Guajar�-Mirim (RO);782;782;938;1199;253;2005
MU;Jaru (RO);2858;2858;6002;2100;1621;2005
MU;Ji-Paran� (RO);2212;2212;4645;2099;1254;2005
MU;Machadinho D'Oeste (RO);3500;3500;5250;1500;1313;2005
MU;Nova Brasil�ndia D'Oeste (RO);1221;1221;2198;1800;593;2005
MU;Ouro Preto do Oeste (RO);970;970;1746;1800;471;2005
MU;Pimenta Bueno (RO);805;805;966;1200;261;2005
MU;Porto Velho (RO);1437;1437;2084;1450;563;2005
MU;Presidente M�dici (RO);1750;1750;3675;2100;992;2005
MU;Rio Crespo (RO);546;546;655;1199;177;2005
MU;Rolim de Moura (RO);1136;1136;2386;2100;644;2005
MU;Santa Luzia D'Oeste (RO);2939;2939;5819;1979;1571;2005
MU;Vilhena (RO);13000;13000;41600;3200;11232;2005
MU;S�o Miguel do Guapor� (RO);1127;1127;1488;1320;372;2005
MU;Nova Mamor� (RO);1820;1820;2730;1500;737;2005
MU;Alvorada D'Oeste (RO);2598;2598;3429;1319;926;2005
MU;Alto Alegre dos Parecis (RO);4800;4800;10560;2200;2746;2005
MU;Alto Para�so (RO);3000;3000;3600;1200;972;2005
MU;Buritis (RO);4547;4547;6366;1400;1592;2005
MU;Novo Horizonte do Oeste (RO);3510;3510;6318;1800;1706;2005
MU;Cacaul�ndia (RO);1100;1100;1452;1320;392;2005
MU;Campo Novo de Rond�nia (RO);1859;1859;2603;1400;651;2005
MU;Candeias do Jamari (RO);208;208;225;1081;61;2005
MU;Castanheiras (RO);1265;1265;2657;2100;717;2005
MU;Chupinguaia (RO);4000;4000;12000;3000;3120;2005
MU;Cujubim (RO);528;528;792;1500;198;2005
MU;Governador Jorge Teixeira (RO);2170;2170;4166;1919;1125;2005
MU;Itapu� do Oeste (RO);205;205;226;1102;61;2005
MU;Ministro Andreazza (RO);586;586;1028;1754;278;2005
MU;Mirante da Serra (RO);2231;2231;4016;1800;1044;2005
MU;Monte Negro (RO);600;600;720;1200;194;2005
MU;Nova Uni�o (RO);759;759;1139;1500;296;2005
MU;Parecis (RO);2710;2710;4065;1500;1057;2005
MU;Pimenteiras do Oeste (RO);1400;1400;4200;3000;1092;2005
MU;Primavera de Rond�nia (RO);700;700;1680;2400;437;2005
MU;S�o Felipe D'Oeste (RO);3261;3261;8022;2459;2166;2005
MU;S�o Francisco do Guapor� (RO);3244;3244;4282;1319;1071;2005
MU;Seringueiras (RO);1062;1062;1274;1199;319;2005
MU;Teixeir�polis (RO);1400;1400;2590;1850;699;2005
MU;Theobroma (RO);2540;2540;3683;1450;994;2005
MU;Urup� (RO);1860;1860;4464;2400;1205;2005
MU;Vale do Anari (RO);1500;1500;2700;1800;675;2005
MU;Vale do Para�so (RO);2837;2837;4256;1500;1149;2005
MU;Acrel�ndia (AC);2500;2500;5000;2000;1500;2005
MU;Assis Brasil (AC);290;290;435;1500;131;2005
MU;Brasil�ia (AC);3800;3800;5700;1500;1619;2005
MU;Bujari (AC);2000;2000;2800;1400;1008;2005
MU;Capixaba (AC);2482;2482;3847;1549;1154;2005
MU;Cruzeiro do Sul (AC);2893;2893;2314;799;694;2005
MU;Epitaciol�ndia (AC);2800;2800;4200;1500;1193;2005
MU;Feij� (AC);2070;2070;3105;1500;1025;2005
MU;Jord�o (AC);670;670;938;1400;347;2005
MU;M�ncio Lima (AC);426;426;383;899;115;2005
MU;Manoel Urbano (AC);400;400;600;1500;216;2005
MU;Marechal Thaumaturgo (AC);1029;1029;1132;1100;306;2005
MU;Pl�cido de Castro (AC);3807;3807;6662;1749;2318;2005
MU;Porto Walter (AC);466;466;466;1000;126;2005
MU;Rio Branco (AC);900;900;1350;1500;378;2005
MU;Rodrigues Alves (AC);516;516;464;899;139;2005
MU;Santa Rosa do Purus (AC);30;30;36;1200;14;2005
MU;Senador Guiomard (AC);1588;1588;3105;1955;885;2005
MU;Sena Madureira (AC);4780;4780;7170;1500;2151;2005
MU;Tarauac� (AC);3760;3760;5640;1500;1974;2005
MU;Xapuri (AC);1400;1400;2100;1500;599;2005
MU;Porto Acre (AC);2230;2230;3532;1583;883;2005
MU;Alvar�es (AM);88;88;189;2147;83;2005
MU;Amatur� (AM);200;200;120;600;89;2005
