Hierarquia;Nome;Area plantada (ha);Area colhida(ha);Quantidade produzida;Rendimento medio (Kg/ha);Valor da producao(R$X1000);Ano 
GR;Norte;674309;673924;2473479;3670;1265666;2018
GR;Nordeste;2610973;2245656;5833630;2598;3228486;2018
GR;Sudeste;1927959;1901293;11172599;5876;6009763;2018
GR;Sul;3443828;3425156;19892061;5808;10040239;2018
GR;Centro-Oeste;7891159;7880339;42994762;5456;17134035;2018
UF;Rond�nia;185413;185153;735150;3971;315092;2018
UF;Acre;30140;30140;80631;2675;56590;2018
UF;Amazonas;3612;3535;8114;2295;6719;2018
UF;Roraima;9155;9155;44648;4877;31580;2018
UF;Par�;226708;226708;790965;3489;457890;2018
UF;Amap�;1408;1360;1155;849;730;2018
UF;Tocantins;217873;217873;812816;3731;397065;2018
UF;Maranh�o;412696;412696;1318782;3196;721692;2018
UF;Piau�;480675;448011;1518094;3389;877040;2018
UF;Cear�;570213;570213;470149;825;292315;2018
UF;Rio Grande do Norte;44783;39026;23934;613;19397;2018
UF;Para�ba;100290;91265;54748;600;41204;2018
UF;Pernambuco;185695;120777;51040;423;38406;2018
UF;Alagoas;33234;13216;25421;1924;16885;2018
UF;Sergipe;145126;33496;106814;3189;72816;2018
UF;Bahia;638261;516956;2264648;4381;1148730;2018
UF;Minas Gerais;1049785;1024685;6634939;6475;3500793;2018
UF;Esp�rito Santo;13930;13921;42027;3019;29484;2018
UF;Rio de Janeiro;2544;2454;7094;2891;5165;2018
UF;Guanabara;...;...;...;...;...;2018
UF;S�o Paulo;861700;860233;4488539;5218;2474321;2018
UF;Paran�;2404747;2395283;12760610;5327;6291050;2018
UF;Santa Catarina;332921;332921;2574200;7732;1417202;2018
UF;Rio Grande do Sul;706160;696952;4557251;6539;2331987;2018
UF;Mato Grosso do Sul;1907544;1899424;7430987;3912;3555542;2018
UF;Mato Grosso;4418507;4417207;26172540;5925;9217546;2018
UF;Goi�s;1501508;1500108;8998655;5999;4179573;2018
UF;Distrito Federal;63600;63600;392580;6173;181375;2018
MU;Alta Floresta D'Oeste (RO);6728;6728;16267;2418;8501;2018
MU;Ariquemes (RO);1000;1000;3600;3600;2700;2018
MU;Cabixi (RO);22535;22535;94647;4200;43212;2018
MU;Cacoal (RO);2139;2139;3616;1691;1813;2018
MU;Cerejeiras (RO);24050;24050;100965;4198;39715;2018
MU;Colorado do Oeste (RO);1650;1650;6825;4136;2505;2018
MU;Corumbiara (RO);16100;16100;68300;4242;25066;2018
MU;Costa Marques (RO);262;262;402;1534;273;2018
MU;Espig�o D'Oeste (RO);2284;2284;5482;2400;2771;2018
MU;Guajar�-Mirim (RO);45;45;103;2289;72;2018
