Hierarquia;Nome;Area plantada (ha);Area colhida(ha);Quantidade produzida;Rendimento medio (Kg/ha);Valor da producao(R$X1000);Ano 
GR;Norte;542629;539314;1728205;3204;806252;2014
GR;Nordeste;2819861;2496560;6693954;2681;2844630;2014
GR;Sudeste;2131699;2075556;11020109;5309;4598901;2014
GR;Sul;3927826;3919220;24362490;6216;8856311;2014
GR;Centro-Oeste;6421106;6402259;36076856;5635;8892770;2014
UF;Rond�nia;154213;154159;542279;3518;197211;2014
UF;Acre;45093;42181;104984;2489;59757;2014
UF;Amazonas;7529;7280;21430;2944;22125;2014
UF;Roraima;6181;6181;15350;2483;10795;2014
UF;Par�;205150;205150;590078;2876;318787;2014
UF;Amap�;2150;2150;1958;911;1019;2014
UF;Tocantins;122313;122213;452126;3699;196558;2014
UF;Maranh�o;551885;551885;1520047;2754;613336;2014
UF;Piau�;405631;377217;1036825;2749;491005;2014
UF;Cear�;474619;472059;347828;737;217438;2014
UF;Rio Grande do Norte;47897;23415;13167;562;10269;2014
UF;Para�ba;85636;67064;28249;421;17626;2014
UF;Pernambuco;215407;163157;53074;325;32025;2014
UF;Alagoas;34480;22500;11301;502;5656;2014
UF;Sergipe;178409;162545;762472;4691;330221;2014
UF;Bahia;825897;656718;2920991;4448;1127056;2014
UF;Minas Gerais;1325456;1272338;6966931;5476;3018268;2014
UF;Esp�rito Santo;21809;21489;58221;2709;35828;2014
UF;Rio de Janeiro;4737;4596;11062;2407;6213;2014
UF;Guanabara;...;...;...;...;...;2014
UF;S�o Paulo;779697;777133;3983895;5126;1538592;2014
UF;Paran�;2559669;2558424;15823241;6185;5403243;2014
UF;Santa Catarina;442643;436433;3149729;7217;1282417;2014
UF;Rio Grande do Sul;925514;924363;5389520;5831;2170651;2014
UF;Mato Grosso do Sul;1595232;1595232;8251121;5172;2079803;2014
UF;Mato Grosso;3349650;3330803;18071316;5426;3718549;2014
UF;Goi�s;1404928;1404928;9088029;6469;2855049;2014
UF;Distrito Federal;71296;71296;666390;9347;239368;2014
MU;Alta Floresta D'Oeste (RO);6528;6528;15677;2402;6417;2014
MU;Ariquemes (RO);777;777;2741;3528;1462;2014
MU;Cabixi (RO);5020;5020;18070;3600;5156;2014
MU;Cacoal (RO);2139;2139;3616;1691;1529;2014
MU;Cerejeiras (RO);18050;18050;64960;3599;20172;2014
MU;Colorado do Oeste (RO);2430;2430;10170;4185;3161;2014
MU;Corumbiara (RO);20100;20100;80300;3995;25241;2014
MU;Costa Marques (RO);502;502;753;1500;251;2014
MU;Espig�o D'Oeste (RO);2645;2645;6348;2400;2857;2014
MU;Guajar�-Mirim (RO);29;15;34;2267;11;2014
MU;Jaru (RO);308;308;378;1227;170;2014
MU;Ji-Paran� (RO);600;600;1080;1800;368;2014
MU;Machadinho D'Oeste (RO);1450;1450;3538;2440;1461;2014
MU;Nova Brasil�ndia D'Oeste (RO);760;760;912;1200;359;2014
MU;Ouro Preto do Oeste (RO);300;300;900;3000;295;2014
MU;Pimenta Bueno (RO);192;192;403;2099;170;2014
MU;Porto Velho (RO);4636;4636;10598;2286;5430;2014
MU;Presidente M�dici (RO);650;650;1365;2100;418;2014
MU;Rio Crespo (RO);1600;1600;3360;2100;1485;2014
MU;Rolim de Moura (RO);1000;1000;2100;2100;884;2014
MU;Santa Luzia D'Oeste (RO);500;500;1200;2400;497;2014
MU;Vilhena (RO);33050;33050;168425;5096;64004;2014
MU;S�o Miguel do Guapor� (RO);4000;4000;9600;2400;4566;2014
MU;Nova Mamor� (RO);650;650;780;1200;345;2014
MU;Alvorada D'Oeste (RO);300;300;540;1800;180;2014
MU;Alto Alegre dos Parecis (RO);5480;5480;16440;3000;6993;2014
MU;Alto Para�so (RO);1150;1150;3090;2687;1498;2014
MU;Buritis (RO);230;230;645;2804;265;2014
MU;Novo Horizonte do Oeste (RO);595;595;714;1200;270;2014
MU;Cacaul�ndia (RO);150;150;270;1800;162;2014
MU;Campo Novo de Rond�nia (RO);1104;1104;1214;1100;704;2014
MU;Candeias do Jamari (RO);700;700;960;1371;333;2014
MU;Castanheiras (RO);1100;1100;2310;2100;924;2014
MU;Chupinguaia (RO);15040;15040;54128;3599;20299;2014
MU;Cujubim (RO);857;857;2328;2716;903;2014
MU;Governador Jorge Teixeira (RO);250;210;585;2786;256;2014
MU;Itapu� do Oeste (RO);80;80;192;2400;70;2014
MU;Ministro Andreazza (RO);450;450;870;1933;357;2014
MU;Mirante da Serra (RO);2500;2500;4875;1950;1755;2014
MU;Monte Negro (RO);320;320;432;1350;168;2014
MU;Nova Uni�o (RO);800;800;1680;2100;550;2014
MU;Parecis (RO);600;600;900;1500;385;2014
MU;Pimenteiras do Oeste (RO);9060;9060;31708;3500;9963;2014
MU;Primavera de Rond�nia (RO);118;118;264;2237;109;2014
MU;S�o Felipe D'Oeste (RO);2100;2100;5040;2400;2122;2014
MU;S�o Francisco do Guapor� (RO);600;600;1200;2000;400;2014
MU;Seringueiras (RO);450;450;912;2027;316;2014
MU;Teixeir�polis (RO);130;130;234;1800;110;2014
MU;Theobroma (RO);670;670;804;1200;469;2014
MU;Urup� (RO);863;863;1036;1200;328;2014
MU;Vale do Anari (RO);400;400;1000;2500;417;2014
MU;Vale do Para�so (RO);200;200;600;3000;197;2014
MU;Acrel�ndia (AC);2485;2297;6661;2900;3910;2014
MU;Assis Brasil (AC);720;720;1440;2000;801;2014
MU;Brasil�ia (AC);2455;2455;7242;2950;4056;2014
MU;Bujari (AC);2196;2087;4608;2208;2408;2014
MU;Capixaba (AC);2818;2725;6268;2300;3736;2014
MU;Cruzeiro do Sul (AC);1540;1486;3146;2117;2045;2014
MU;Epitaciol�ndia (AC);2401;2401;7203;3000;3962;2014
MU;Feij� (AC);2800;2800;5040;1800;3326;2014
MU;Jord�o (AC);500;500;750;1500;413;2014
MU;M�ncio Lima (AC);450;450;878;1951;497;2014
MU;Manoel Urbano (AC);1002;1002;2142;2138;1118;2014
MU;Marechal Thaumaturgo (AC);600;570;855;1500;495;2014
MU;Pl�cido de Castro (AC);2685;2470;7237;2930;4017;2014
MU;Porto Walter (AC);450;390;585;1500;318;2014
MU;Rio Branco (AC);4600;3197;8546;2673;4239;2014
MU;Rodrigues Alves (AC);600;600;1020;1700;632;2014
MU;Santa Rosa do Purus (AC);195;195;293;1503;234;2014
MU;Senador Guiomard (AC);3895;3645;11846;3250;7108;2014
MU;Sena Madureira (AC);4536;4309;10773;2500;5753;2014
MU;Tarauac� (AC);2700;2600;4680;1800;3089;2014
MU;Xapuri (AC);1820;1820;3731;2050;1940;2014
MU;Porto Acre (AC);3645;3462;10040;2900;5663;2014
MU;Alvar�es (AM);6;6;17;2833;15;2014
MU;Amatur� (AM);-;-;-;-;-;2014
MU;Anam� (AM);69;43;70;1628;42;2014
MU;Anori (AM);200;200;600;3000;600;2014
MU;Apu� (AM);900;850;2125;2500;1381;2014
MU;Atalaia do Norte (AM);-;-;-;-;-;2014
MU;Autazes (AM);-;-;-;-;-;2014
MU;Barcelos (AM);-;-;-;-;-;2014
MU;Barreirinha (AM);80;80;210;2625;170;2014
MU;Benjamin Constant (AM);-;-;-;-;-;2014
MU;Beruri (AM);-;-;-;-;-;2014
MU;Boa Vista do Ramos (AM);60;60;156;2600;114;2014
MU;Boca do Acre (AM);626;626;1887;3014;1793;2014
MU;Borba (AM);225;225;560;2489;392;2014
MU;Caapiranga (AM);32;32;80;2500;120;2014
MU;Canutama (AM);-;-;-;-;-;2014
MU;Carauari (AM);30;30;60;2000;67;2014
MU;Careiro (AM);160;160;417;2606;388;2014
MU;Careiro da V�rzea (AM);-;-;-;-;-;2014
MU;Coari (AM);150;150;450;3000;405;2014
MU;Codaj�s (AM);180;160;480;3000;480;2014
MU;Eirunep� (AM);140;140;322;2300;322;2014
MU;Envira (AM);300;300;900;3000;900;2014
MU;Fonte Boa (AM);50;20;60;3000;60;2014
MU;Guajar� (AM);360;360;1100;3056;858;2014
MU;Humait� (AM);250;250;750;3000;510;2014
MU;Ipixuna (AM);84;84;212;2524;208;2014
MU;Iranduba (AM);-;-;-;-;-;2014
MU;Itacoatiara (AM);-;-;-;-;-;2014
MU;Itamarati (AM);50;50;125;2500;100;2014
MU;Itapiranga (AM);30;30;90;3000;90;2014
MU;Japur� (AM);10;10;22;2200;18;2014
MU;Juru� (AM);10;10;30;3000;30;2014
MU;Juta� (AM);270;270;680;2519;510;2014
MU;L�brea (AM);300;300;2;7;1;2014
MU;Manacapuru (AM);500;500;1500;3000;975;2014
MU;Manaquiri (AM);-;-;-;-;-;2014
MU;Manaus (AM);50;50;150;3000;252;2014
MU;Manicor� (AM);-;-;-;-;-;2014
MU;Mara� (AM);100;100;180;1800;180;2014
MU;Mau�s (AM);220;220;570;2591;414;2014
MU;Nhamund� (AM);90;86;215;2500;172;2014
MU;Nova Olinda do Norte (AM);90;80;240;3000;168;2014
MU;Novo Air�o (AM);-;-;-;-;-;2014
MU;Novo Aripuan� (AM);-;-;-;-;-;2014
MU;Parintins (AM);90;90;230;2556;170;2014
MU;Pauini (AM);125;125;375;3000;450;2014
MU;Presidente Figueiredo (AM);129;129;290;2248;286;2014
MU;Rio Preto da Eva (AM);-;-;-;-;-;2014
MU;Santa Isabel do Rio Negro (AM);815;708;4450;6285;7565;2014
MU;Santo Ant�nio do I�� (AM);100;100;250;2500;168;2014
MU;S�o Gabriel da Cachoeira (AM);-;-;-;-;-;2014
MU;S�o Paulo de Oliven�a (AM);-;-;-;-;-;2014
MU;S�o Sebasti�o do Uatum� (AM);18;18;54;3000;27;2014
MU;Silves (AM);35;35;70;2000;42;2014
MU;Tabatinga (AM);-;-;-;-;-;2014
MU;Tapau� (AM);370;370;926;2503;1250;2014
MU;Tef� (AM);40;40;110;2750;101;2014
MU;Tonantins (AM);100;100;226;2260;226;2014
MU;Uarini (AM);5;5;15;3000;14;2014
MU;Urucar� (AM);60;60;120;2000;60;2014
MU;Urucurituba (AM);20;18;54;3000;32;2014
MU;Amajari (RR);80;80;320;4000;272;2014
MU;Alto Alegre (RR);1100;1100;2626;2387;1838;2014
MU;Boa Vista (RR);600;600;2550;4250;1913;2014
MU;Bonfim (RR);1125;1125;2500;2222;1250;2014
MU;Cant� (RR);120;120;240;2000;161;2014
MU;Caracara� (RR);156;156;234;1500;176;2014
