Hierarquia;Nome;Area plantada (ha);Area colhida(ha);Quantidade produzida;Rendimento medio (Kg/ha);Valor da producao(R$X1000);Ano 
GR;Norte;519803;505988;1299751;2568;530584;2010
GR;Nordeste;2672079;2434965;4140132;1700;1520134;2010
GR;Sudeste;2001493;1973440;10199656;5168;3559147;2010
GR;Sul;3990649;3987960;22854811;5730;6121130;2010
GR;Centro-Oeste;3779056;3776522;16869921;4467;3450298;2010
UF;Rond�nia;169069;157799;365980;2319;118537;2010
UF;Acre;39784;39314;81125;2063;31533;2010
UF;Amazonas;13952;13952;34880;2500;20921;2010
UF;Roraima;6500;6400;12800;2000;8320;2010
UF;Par�;203669;201764;519258;2573;249847;2010
UF;Amap�;3600;3530;3233;915;1813;2010
UF;Tocantins;83229;83229;282475;3393;99609;2010
UF;Maranh�o;382814;375486;535853;1427;203514;2010
UF;Piau�;310043;287048;342483;1193;146360;2010
UF;Cear�;551984;551984;174955;316;94585;2010
UF;Rio Grande do Norte;30847;20317;8119;399;4989;2010
UF;Para�ba;98898;73582;11507;156;5451;2010
UF;Pernambuco;252655;176892;69715;394;28770;2010
UF;Alagoas;53233;43486;23480;539;10650;2010
UF;Sergipe;182068;182068;750718;4123;246447;2010
UF;Bahia;809537;724102;2223302;3070;779364;2010
UF;Minas Gerais;1191454;1169506;6089941;5207;2146321;2010
UF;Esp�rito Santo;28122;28122;65537;2330;26076;2010
UF;Rio de Janeiro;7053;7053;17678;2506;8253;2010
UF;Guanabara;...;...;...;...;...;2010
UF;S�o Paulo;774864;768759;4026500;5237;1378495;2010
UF;Paran�;2257031;2257031;13567096;6011;3472755;2010
UF;Santa Catarina;582221;582221;3653803;6275;939801;2010
UF;Rio Grande do Sul;1151397;1148708;5633912;4904;1708573;2010
UF;Mato Grosso do Sul;873861;873777;3782946;4329;826375;2010
UF;Mato Grosso;2014192;2011742;8164273;4058;1203626;2010
UF;Goi�s;858301;858301;4676483;5448;1336582;2010
UF;Distrito Federal;32702;32702;246219;7529;83714;2010
MU;Alta Floresta D'Oeste (RO);8019;8019;19246;2400;5427;2010
MU;Ariquemes (RO);4279;4279;8558;2000;3679;2010
MU;Cabixi (RO);5500;5000;10500;2100;3150;2010
MU;Cacoal (RO);3903;3903;6557;1679;2753;2010
MU;Cerejeiras (RO);18450;16600;39840;2400;11952;2010
