Hierarquia;Nome;Area plantada (ha);Area colhida(ha);Quantidade produzida;Rendimento medio (Kg/ha);Valor da producao(R$X1000);Ano
GR;Norte;1429179;1428858;6072405;4250;6404988;2023
GR;Nordeste;3027979;2802279;9766345;3485;10178225;2023
GR;Sudeste;2076152;2074362;13220968;6374;13070944;2023
GR;Sul;3955317;3948321;24431479;6188;23302185;2023
GR;Centro-Oeste;12062575;12062520;78459049;6504;48868758;2023
UF;Rond�nia;356552;356373;1705199;4785;2190122;2023
UF;Acre;40831;40831;139065;3406;164107;2023
UF;Amazonas;3340;3288;8265;2514;10886;2023
UF;Roraima;13774;13774;79774;5792;119006;2023
UF;Par�;485255;485253;1739135;3584;1972335;2023
UF;Amap�;2372;2294;2217;966;2261;2023
UF;Tocantins;527055;527045;2398750;4551;1946271;2023
UF;Maranh�o;535302;535302;2487084;4646;2083612;2023
UF;Piau�;601766;587331;2752791;4687;3426461;2023
UF;Cear�;600328;599608;359987;600;433599;2023
UF;Rio Grande do Norte;66428;47331;25880;547;37639;2023
UF;Para�ba;101039;89395;41946;469;51775;2023
UF;Pernambuco;189207;85717;55709;650;77184;2023
UF;Alagoas;54358;27359;71427;2611;97760;2023
UF;Sergipe;184915;178840;874463;4890;1021628;2023
UF;Bahia;694636;651396;3097058;4754;2948567;2023
UF;Minas Gerais;1228588;1228338;8296982;6755;7845375;2023
UF;Esp�rito Santo;18305;18305;67475;3686;98567;2023
UF;Rio de Janeiro;1963;1963;10458;5328;15492;2023
UF;Guanabara;...;...;...;...;...;2023
UF;S�o Paulo;827296;825756;4846053;5869;5111510;2023
UF;Paran�;2803150;2803150;17884646;6380;15043426;2023
UF;Santa Catarina;329571;329406;2586339;7852;3075119;2023
UF;Rio Grande do Sul;822596;815765;3960494;4855;5183639;2023
UF;Mato Grosso do Sul;2395909;2395854;13443031;5611;8561016;2023
UF;Mato Grosso;7429526;7429526;50241972;6762;29501004;2023
UF;Goi�s;2181640;2181640;14460846;6628;10577155;2023
UF;Distrito Federal;55500;55500;313200;5643;229583;2023
MU;Alta Floresta D'Oeste (RO);1850;1850;7987;4317;10357;2023
MU;Ariquemes (RO);2370;2370;11320;4776;14821;2023
MU;Cabixi (RO);20010;20010;98045;4900;120401;2023
MU;Cacoal (RO);3248;3248;15890;4892;19443;2023
MU;Cerejeiras (RO);30015;30015;140050;4666;186727;2023
MU;Colorado do Oeste (RO);2730;2730;11742;4301;15436;2023
MU;Corumbiara (RO);32020;32020;148864;4649;181322;2023
MU;Costa Marques (RO);2219;2219;9713;4377;13646;2023
MU;Espig�o D'Oeste (RO);2400;2400;10245;4269;13438;2023
MU;Guajar�-Mirim (RO);165;120;443;3692;578;2023
MU;Jaru (RO);350;350;1260;3600;1690;2023
MU;Ji-Paran� (RO);560;560;2322;4146;3120;2023
MU;Machadinho D'Oeste (RO);7700;7700;36720;4769;45954;2023
MU;Nova Brasil�ndia D'Oeste (RO);1890;1890;8870;4693;11580;2023
MU;Ouro Preto do Oeste (RO);2590;2590;17973;6939;23286;2023
