Hierarquia;Nome;Area plantada (ha);Area colhida(ha);Quantidade produzida;Rendimento medio (Kg/ha);Valor da producao(R$X1000);Ano 
GR;Norte;529773;528999;1583259;2993;727503;2013
GR;Nordeste;2275154;1971475;4802322;2436;2200255;2013
GR;Sudeste;2130727;2064190;11932192;5781;4836586;2013
GR;Sul;4532480;4477265;26088448;5827;9584527;2013
GR;Centro-Oeste;6243483;6237723;35866951;5750;9374227;2013
UF;Rond�nia;148132;147657;449449;3044;136511;2013
UF;Acre;45486;45486;124536;2738;66549;2013
UF;Amazonas;11237;11018;27610;2506;22015;2013
UF;Roraima;6061;6061;15438;2547;10410;2013
UF;Par�;221022;220962;613546;2777;356781;2013
UF;Amap�;2270;2250;2011;894;994;2013
UF;Tocantins;95565;95565;350669;3669;134243;2013
UF;Maranh�o;511361;505615;1321683;2614;649488;2013
UF;Piau�;383743;271997;485043;1783;254271;2013
UF;Cear�;360877;355871;112741;317;78449;2013
UF;Rio Grande do Norte;42761;19161;11924;622;8800;2013
UF;Para�ba;50321;44196;27452;621;17494;2013
UF;Pernambuco;56332;41592;23922;575;15380;2013
UF;Alagoas;29008;14225;8749;615;4250;2013
UF;Sergipe;161154;148289;700902;4727;290270;2013
UF;Bahia;679597;570529;2109906;3698;881854;2013
UF;Minas Gerais;1278381;1214555;7447665;6132;3066441;2013
UF;Esp�rito Santo;26486;24686;62831;2545;36344;2013
UF;Rio de Janeiro;5639;5639;13321;2362;7222;2013
UF;Guanabara;...;...;...;...;...;2013
UF;S�o Paulo;820221;819310;4408375;5381;1726578;2013
UF;Paran�;3014302;2988990;17342302;5802;5829742;2013
UF;Santa Catarina;484450;484310;3326366;6868;1392252;2013
UF;Rio Grande do Sul;1033728;1003965;5419780;5398;2362533;2013
UF;Mato Grosso do Sul;1543570;1537810;7573324;4925;1919140;2013
UF;Mato Grosso;3416701;3416701;20186020;5908;4725698;2013
UF;Goi�s;1229994;1229994;7686971;6250;2557317;2013
UF;Distrito Federal;53218;53218;420636;7904;172072;2013
MU;Alta Floresta D'Oeste (RO);8160;8160;19584;2400;8029;2013
MU;Ariquemes (RO);755;675;810;1200;405;2013
MU;Cabixi (RO);5020;5020;18070;3600;4819;2013
MU;Cacoal (RO);2722;2722;4433;1629;1458;2013
MU;Cerejeiras (RO);10050;10050;36160;3598;9643;2013
MU;Colorado do Oeste (RO);2500;2500;10380;4152;2768;2013
MU;Corumbiara (RO);17100;17100;56420;3299;15046;2013
MU;Costa Marques (RO);502;502;753;1500;314;2013
MU;Espig�o D'Oeste (RO);2645;2645;6348;2400;2222;2013
MU;Guajar�-Mirim (RO);50;50;75;1500;32;2013
MU;Jaru (RO);890;890;828;930;368;2013
MU;Ji-Paran� (RO);979;979;1762;1800;691;2013
MU;Machadinho D'Oeste (RO);2450;2450;3465;1414;1615;2013
MU;Nova Brasil�ndia D'Oeste (RO);775;775;930;1200;362;2013
MU;Ouro Preto do Oeste (RO);300;300;900;3000;344;2013
MU;Pimenta Bueno (RO);400;400;840;2100;336;2013
MU;Porto Velho (RO);4726;4726;3540;749;1968;2013
MU;Presidente M�dici (RO);1200;1200;2520;2100;1052;2013
MU;Rio Crespo (RO);400;400;720;1800;324;2013
MU;Rolim de Moura (RO);1000;1000;2100;2100;840;2013
MU;Santa Luzia D'Oeste (RO);1200;1200;4935;4113;1925;2013
MU;Vilhena (RO);30050;30050;126150;4198;33640;2013
MU;S�o Miguel do Guapor� (RO);3000;3000;7200;2400;2989;2013
MU;Nova Mamor� (RO);708;708;850;1201;423;2013
MU;Alvorada D'Oeste (RO);500;500;1650;3300;932;2013
MU;Alto Alegre dos Parecis (RO);5850;5850;17550;3000;7150;2013
MU;Alto Para�so (RO);570;570;1197;2100;539;2013
MU;Buritis (RO);210;210;529;2519;233;2013
MU;Novo Horizonte do Oeste (RO);689;689;827;1200;293;2013
MU;Cacaul�ndia (RO);500;400;480;1200;211;2013
MU;Campo Novo de Rond�nia (RO);1840;1840;2024;1100;931;2013
MU;Candeias do Jamari (RO);300;300;360;1200;112;2013
MU;Castanheiras (RO);900;900;1890;2100;670;2013
MU;Chupinguaia (RO);15030;15030;54096;3599;14426;2013
MU;Cujubim (RO);400;295;755;2559;321;2013
MU;Governador Jorge Teixeira (RO);250;60;87;1450;36;2013
MU;Itapu� do Oeste (RO);318;318;380;1195;143;2013
MU;Ministro Andreazza (RO);900;900;1590;1767;636;2013
MU;Mirante da Serra (RO);2329;2329;4542;1950;1773;2013
MU;Monte Negro (RO);300;300;360;1200;171;2013
MU;Nova Uni�o (RO);950;950;1800;1895;703;2013
MU;Parecis (RO);1000;1000;1500;1500;585;2013
MU;Pimenteiras do Oeste (RO);9060;9060;31708;3500;8456;2013
MU;Primavera de Rond�nia (RO);148;148;332;2243;129;2013
MU;S�o Felipe D'Oeste (RO);3000;3000;7200;2400;2880;2013
MU;S�o Francisco do Guapor� (RO);1000;1000;2000;2000;812;2013
MU;Seringueiras (RO);400;400;792;1980;329;2013
MU;Teixeir�polis (RO);100;100;180;1800;70;2013
MU;Theobroma (RO);670;670;603;900;251;2013
MU;Urup� (RO);1436;1436;2154;1500;825;2013
MU;Vale do Anari (RO);400;400;840;2100;349;2013
MU;Vale do Para�so (RO);1500;1500;2250;1500;935;2013
MU;Acrel�ndia (AC);2565;2565;8978;3500;4426;2013
MU;Assis Brasil (AC);600;600;1200;2000;612;2013
MU;Brasil�ia (AC);3300;3300;9735;2950;4868;2013
MU;Bujari (AC);1830;1830;5948;3250;2956;2013
MU;Capixaba (AC);2920;2920;7592;2600;3720;2013
MU;Cruzeiro do Sul (AC);2934;2934;5281;1800;3169;2013
MU;Epitaciol�ndia (AC);2200;2200;7150;3250;3575;2013
MU;Feij� (AC);3000;3000;5100;1700;3060;2013
MU;Jord�o (AC);520;520;832;1600;666;2013
MU;M�ncio Lima (AC);400;400;836;2090;502;2013
MU;Manoel Urbano (AC);800;800;1760;2200;1056;2013
MU;Marechal Thaumaturgo (AC);1320;1320;1980;1500;1463;2013
MU;Pl�cido de Castro (AC);2300;2300;7590;3300;3833;2013
MU;Porto Walter (AC);520;520;780;1500;507;2013
MU;Rio Branco (AC);3800;3800;13680;3600;7494;2013
MU;Rodrigues Alves (AC);800;800;1440;1800;948;2013
MU;Santa Rosa do Purus (AC);202;202;303;1500;212;2013
MU;Senador Guiomard (AC);3705;3705;14820;4000;7692;2013
MU;Sena Madureira (AC);4350;4350;9353;2150;5331;2013
MU;Tarauac� (AC);2400;2400;4320;1800;2592;2013
MU;Xapuri (AC);1700;1700;3740;2200;1870;2013
MU;Porto Acre (AC);3320;3320;12118;3650;5998;2013
MU;Alvar�es (AM);12;12;32;2667;27;2013
MU;Amatur� (AM);50;50;125;2500;85;2013
MU;Anam� (AM);37;37;100;2703;100;2013
MU;Anori (AM);56;52;156;3000;109;2013
MU;Apu� (AM);1000;1000;2500;2500;1575;2013
MU;Atalaia do Norte (AM);100;100;200;2000;156;2013
MU;Autazes (AM);32;32;80;2500;56;2013
MU;Barcelos (AM);-;-;-;-;-;2013
MU;Barreirinha (AM);90;80;200;2500;184;2013
MU;Benjamin Constant (AM);400;400;1000;2500;650;2013
MU;Beruri (AM);200;200;500;2500;315;2013
MU;Boa Vista do Ramos (AM);100;90;225;2500;180;2013
MU;Boca do Acre (AM);626;626;1690;2700;2028;2013
MU;Borba (AM);450;450;1125;2500;788;2013
MU;Caapiranga (AM);22;18;54;3000;41;2013
MU;Canutama (AM);200;200;500;2500;350;2013
MU;Carauari (AM);80;80;160;2000;104;2013
MU;Careiro (AM);100;90;270;3000;243;2013
MU;Careiro da V�rzea (AM);40;40;100;2500;82;2013
MU;Coari (AM);320;320;960;3000;768;2013
MU;Codaj�s (AM);175;175;437;2497;306;2013
MU;Eirunep� (AM);700;700;980;1400;980;2013
MU;Envira (AM);400;400;900;2250;720;2013
MU;Fonte Boa (AM);50;20;60;3000;60;2013
MU;Guajar� (AM);400;400;1200;3000;960;2013
MU;Humait� (AM);350;350;1050;3000;630;2013
MU;Ipixuna (AM);96;96;240;2500;288;2013
MU;Iranduba (AM);250;250;625;2500;438;2013
MU;Itacoatiara (AM);527;527;1425;2704;1283;2013
MU;Itamarati (AM);150;150;375;2500;300;2013
MU;Itapiranga (AM);5;5;12;2400;7;2013
MU;Japur� (AM);50;50;125;2500;94;2013
MU;Juru� (AM);60;60;150;2500;120;2013
MU;Juta� (AM);250;250;625;2500;469;2013
MU;L�brea (AM);600;600;1500;2500;975;2013
MU;Manacapuru (AM);562;562;1405;2500;984;2013
MU;Manaquiri (AM);66;66;192;2909;159;2013
MU;Manaus (AM);4;4;10;2500;7;2013
MU;Manicor� (AM);1050;950;2375;2500;2375;2013
MU;Mara� (AM);25;25;62;2480;56;2013
MU;Mau�s (AM);100;95;290;3053;203;2013
MU;Nhamund� (AM);250;230;575;2500;460;2013
MU;Nova Olinda do Norte (AM);-;-;-;-;-;2013
MU;Novo Air�o (AM);1;1;2;2000;2;2013
MU;Novo Aripuan� (AM);30;30;90;3000;54;2013
MU;Parintins (AM);120;100;295;2950;177;2013
MU;Pauini (AM);12;12;30;2500;22;2013
MU;Presidente Figueiredo (AM);115;110;280;2545;218;2013
MU;Rio Preto da Eva (AM);-;-;-;-;-;2013
MU;Santa Isabel do Rio Negro (AM);62;62;180;2903;180;2013
