Hierarquia;Nome;Area plantada (ha);Area colhida(ha);Quantidade produzida;Rendimento medio (Kg/ha);Valor da producao(R$X1000);Ano 
GR;Norte;541457;536656;1657466;3089;767064;2012
GR;Nordeste;2461839;1777953;3881633;2183;1874102;2012
GR;Sudeste;2149542;2105998;12195904;5791;4915374;2012
GR;Sul;4656207;4522130;22580841;4993;9254571;2012
GR;Centro-Oeste;5256243;5255759;30756966;5852;10013755;2012
UF;Rond�nia;161036;160213;534423;3336;204552;2012
UF;Acre;43833;40802;96687;2370;54980;2012
UF;Amazonas;14580;14298;36697;2567;25208;2012
UF;Roraima;6500;5900;11800;2000;8260;2012
UF;Par�;215935;215935;604799;2801;309222;2012
UF;Amap�;2600;2535;2120;836;1350;2012
UF;Tocantins;96973;96973;370940;3825;163491;2012
UF;Maranh�o;451900;445893;783491;1757;369659;2012
UF;Piau�;354837;269061;769387;2860;400719;2012
UF;Cear�;535959;497598;122501;246;73410;2012
UF;Rio Grande do Norte;23205;6195;2489;402;1498;2012
UF;Para�ba;78522;15379;6548;426;4600;2012
UF;Pernambuco;256466;53855;22054;410;13245;2012
UF;Alagoas;17072;4356;1650;379;905;2012
UF;Sergipe;153933;81690;290575;3557;168525;2012
UF;Bahia;589945;403926;1882938;4662;841541;2012
UF;Minas Gerais;1272944;1230479;7625142;6197;3022281;2012
UF;Esp�rito Santo;31704;31694;77233;2437;40730;2012
UF;Rio de Janeiro;6165;6165;15009;2435;8346;2012
UF;Guanabara;...;...;...;...;...;2012
UF;S�o Paulo;838729;837660;4478520;5346;1844017;2012
UF;Paran�;3011730;2996979;16555330;5524;6715403;2012
UF;Santa Catarina;525257;518045;2870450;5541;1153163;2012
UF;Rio Grande do Sul;1119220;1007106;3155061;3133;1386005;2012
UF;Mato Grosso do Sul;1244808;1244604;6477070;5204;2348731;2012
UF;Mato Grosso;2740833;2740553;15646716;5709;4490894;2012
UF;Goi�s;1221160;1221160;8230069;6740;3025008;2012
UF;Distrito Federal;49442;49442;403111;8153;149123;2012
MU;Alta Floresta D'Oeste (RO);9623;9623;23095;2400;9434;2012
MU;Ariquemes (RO);750;750;900;1200;450;2012
MU;Cabixi (RO);4800;4800;17000;3542;6222;2012
MU;Cacoal (RO);3903;3903;6557;1680;2787;2012
MU;Cerejeiras (RO);8500;8500;30600;3600;11200;2012
MU;Colorado do Oeste (RO);2000;2000;9600;4800;3514;2012
MU;Corumbiara (RO);14000;14000;50400;3600;18446;2012
MU;Costa Marques (RO);580;580;754;1300;314;2012
MU;Espig�o D'Oeste (RO);2645;2645;6348;2400;2711;2012
MU;Guajar�-Mirim (RO);200;200;288;1440;147;2012
MU;Jaru (RO);349;289;276;955;124;2012
MU;Ji-Paran� (RO);1224;1224;2203;1800;928;2012
MU;Machadinho D'Oeste (RO);2580;2580;3870;1500;1803;2012
MU;Nova Brasil�ndia D'Oeste (RO);765;765;1020;1333;415;2012
MU;Ouro Preto do Oeste (RO);1200;1200;2160;1800;884;2012
MU;Pimenta Bueno (RO);645;645;966;1498;418;2012
MU;Porto Velho (RO);2503;1740;3543;2036;2055;2012
MU;Presidente M�dici (RO);1816;1816;3814;2100;1606;2012
MU;Rio Crespo (RO);900;900;1620;1800;729;2012
MU;Rolim de Moura (RO);1000;1000;2100;2100;886;2012
MU;Santa Luzia D'Oeste (RO);1645;1645;4935;3000;1972;2012
MU;Vilhena (RO);34000;34000;184000;5412;67344;2012
MU;S�o Miguel do Guapor� (RO);1540;1540;3696;2400;1501;2012
MU;Nova Mamor� (RO);1050;1050;1260;1200;625;2012
MU;Alvorada D'Oeste (RO);1900;1900;2723;1433;1249;2012
MU;Alto Alegre dos Parecis (RO);6779;6779;20337;3000;7942;2012
MU;Alto Para�so (RO);570;570;1710;3000;711;2012
MU;Buritis (RO);3500;3500;6300;1800;2709;2012
MU;Novo Horizonte do Oeste (RO);1723;1723;3101;1800;1262;2012
MU;Cacaul�ndia (RO);727;727;866;1191;372;2012
MU;Campo Novo de Rond�nia (RO);1840;1840;1518;825;653;2012
MU;Candeias do Jamari (RO);350;350;273;780;141;2012
MU;Castanheiras (RO);900;900;1890;2100;766;2012
MU;Chupinguaia (RO);12000;12000;54000;4500;19764;2012
MU;Cujubim (RO);500;500;650;1300;371;2012
MU;Governador Jorge Teixeira (RO);440;440;660;1500;284;2012
MU;Itapu� do Oeste (RO);265;265;297;1121;151;2012
MU;Ministro Andreazza (RO);560;560;982;1754;409;2012
MU;Mirante da Serra (RO);2646;2646;5160;1950;2111;2012
MU;Monte Negro (RO);600;600;384;640;179;2012
MU;Nova Uni�o (RO);950;950;1800;1895;736;2012
MU;Parecis (RO);1600;1600;2306;1441;919;2012
MU;Pimenteiras do Oeste (RO);10000;10000;39000;3900;14274;2012
MU;Primavera de Rond�nia (RO);384;384;860;2240;354;2012
MU;S�o Felipe D'Oeste (RO);3850;3850;9163;2380;4499;2012
MU;S�o Francisco do Guapor� (RO);3630;3630;6534;1800;2722;2012
MU;Seringueiras (RO);1254;1254;2483;1980;1008;2012
MU;Teixeir�polis (RO);616;616;1232;2000;504;2012
MU;Theobroma (RO);840;840;1310;1560;537;2012
MU;Urup� (RO);2394;2394;4309;1800;1763;2012
MU;Vale do Anari (RO);1000;1000;2070;2070;1035;2012
MU;Vale do Para�so (RO);1000;1000;1500;1500;614;2012
MU;Acrel�ndia (AC);2418;2418;8463;3500;4655;2012
MU;Assis Brasil (AC);550;550;858;1560;472;2012
MU;Brasil�ia (AC);3000;2550;5130;2012;3078;2012
MU;Bujari (AC);1795;1795;5026;2800;2815;2012
MU;Capixaba (AC);2815;2785;7937;2850;4449;2012
MU;Cruzeiro do Sul (AC);4147;3730;3730;1000;2760;2012
MU;Epitaciol�ndia (AC);2000;1730;4069;2352;2441;2012
MU;Feij� (AC);2920;2920;4672;1600;2336;2012
MU;Jord�o (AC);460;460;828;1800;414;2012
MU;M�ncio Lima (AC);355;320;408;1275;286;2012
MU;Manoel Urbano (AC);800;800;1200;1500;666;2012
MU;Marechal Thaumaturgo (AC);1300;1300;1950;1500;1287;2012
MU;Pl�cido de Castro (AC);2755;2755;10193;3700;5810;2012
MU;Porto Walter (AC);500;500;700;1400;431;2012
MU;Rio Branco (AC);2850;2140;5472;2557;2725;2012
MU;Rodrigues Alves (AC);1363;820;984;1200;684;2012
MU;Santa Rosa do Purus (AC);250;240;375;1563;244;2012
MU;Senador Guiomard (AC);2845;2845;10128;3560;5862;2012
MU;Sena Madureira (AC);3800;3382;6764;2000;3765;2012
MU;Tarauac� (AC);2300;2300;3910;1700;1955;2012
MU;Xapuri (AC);1650;1650;3345;2027;1873;2012
MU;Porto Acre (AC);2960;2812;10545;3750;5974;2012
MU;Alvar�es (AM);18;18;50;2778;45;2012
MU;Amatur� (AM);34;32;80;2500;52;2012
MU;Anam� (AM);180;180;450;2500;293;2012
MU;Anori (AM);132;132;330;2500;198;2012
MU;Apu� (AM);1800;1800;5000;2778;3150;2012
MU;Atalaia do Norte (AM);100;100;250;2500;193;2012
MU;Autazes (AM);150;150;375;2500;263;2012
MU;Barcelos (AM);2;2;4;2000;2;2012
MU;Barreirinha (AM);70;70;175;2500;140;2012
MU;Benjamin Constant (AM);358;358;896;2503;538;2012
MU;Beruri (AM);80;80;240;3000;144;2012
MU;Boa Vista do Ramos (AM);100;100;250;2500;175;2012
MU;Boca do Acre (AM);1050;1000;2500;2500;1575;2012
MU;Borba (AM);593;593;1483;2501;816;2012
MU;Caapiranga (AM);25;25;63;2520;43;2012
MU;Canutama (AM);27;27;68;2519;48;2012
MU;Carauari (AM);50;50;100;2000;65;2012
MU;Careiro (AM);90;90;270;3000;181;2012
MU;Careiro da V�rzea (AM);420;336;1008;3000;806;2012
MU;Coari (AM);200;200;500;2500;400;2012
MU;Codaj�s (AM);133;133;332;2496;196;2012
MU;Eirunep� (AM);600;590;1180;2000;1180;2012
MU;Envira (AM);600;600;1466;2443;1026;2012
MU;Fonte Boa (AM);98;98;240;2449;168;2012
