Hierarquia;Nome;Area plantada (ha);Area colhida(ha);Quantidade produzida;Rendimento medio (Kg/ha);Valor da producao(R$X1000);Ano 
GR;Norte;756120;755650;2789012;3691;1259598;2017
GR;Nordeste;2648706;2374119;6312607;2659;3087064;2017
GR;Sudeste;1984439;1952225;11976736;6135;5269079;2017
GR;Sul;4031787;4029640;26611170;6604;9830432;2017
GR;Centro-Oeste;8318631;8315572;50221133;6039;13555238;2017
UF;Rond�nia;215716;215545;933956;4333;334025;2017
UF;Acre;34850;34850;89244;2561;61876;2017
UF;Amazonas;3638;3518;8852;2516;9424;2017
UF;Roraima;6625;6616;41374;6254;33314;2017
UF;Par�;266993;266981;872065;3266;444526;2017
UF;Amap�;1679;1591;1564;983;974;2017
UF;Tocantins;226619;226549;841957;3716;375457;2017
UF;Maranh�o;470456;464034;1631080;3515;662101;2017
UF;Piau�;471678;451958;1439469;3185;809958;2017
UF;Cear�;562831;562831;373425;663;233241;2017
UF;Rio Grande do Norte;35404;13481;4071;302;3642;2017
UF;Para�ba;84454;73929;26242;355;18833;2017
UF;Pernambuco;199008;111673;45598;408;29351;2017
UF;Alagoas;42199;27671;33507;1211;18337;2017
UF;Sergipe;169462;169262;843762;4985;450668;2017
UF;Bahia;613214;499280;1915453;3836;860934;2017
UF;Minas Gerais;1085791;1054224;6752413;6405;3186535;2017
UF;Esp�rito Santo;13122;13122;37209;2836;26622;2017
UF;Rio de Janeiro;2763;2757;8243;2990;5767;2017
UF;Guanabara;...;...;...;...;...;2017
UF;S�o Paulo;882763;882122;5178871;5871;2050155;2017
UF;Paran�;2836152;2836152;17542688;6185;5999687;2017
UF;Santa Catarina;364414;363272;3009582;8285;1297849;2017
UF;Rio Grande do Sul;831221;830216;6058900;7298;2532896;2017
UF;Mato Grosso do Sul;1832510;1831970;9821727;5361;2843153;2017
UF;Mato Grosso;4784837;4784797;29942322;6258;6964508;2017
UF;Goi�s;1635950;1633471;9996344;6120;3532569;2017
UF;Distrito Federal;65334;65334;460740;7052;215009;2017
MU;Alta Floresta D'Oeste (RO);6528;6528;15667;2400;10340;2017
MU;Ariquemes (RO);975;975;3330;3415;2531;2017
MU;Cabixi (RO);17025;17025;81690;4798;24528;2017
MU;Cacoal (RO);2139;2139;3616;1691;2400;2017
MU;Cerejeiras (RO);22050;22050;105760;4796;31755;2017
MU;Colorado do Oeste (RO);2400;2400;11400;4750;3520;2017
MU;Corumbiara (RO);30100;30100;144360;4796;43368;2017
MU;Costa Marques (RO);13;13;20;1538;16;2017
MU;Espig�o D'Oeste (RO);2284;2284;5482;2400;3537;2017
MU;Guajar�-Mirim (RO);45;45;103;2289;72;2017
MU;Jaru (RO);300;285;578;2028;251;2017
MU;Ji-Paran� (RO);600;600;1080;1800;823;2017
MU;Machadinho D'Oeste (RO);600;590;2088;3539;1004;2017
MU;Nova Brasil�ndia D'Oeste (RO);460;460;552;1200;331;2017
MU;Ouro Preto do Oeste (RO);50;50;200;4000;144;2017
