Hierarquia;Nome;Area plantada (ha);Area colhida(ha);Quantidade produzida;Rendimento medio (Kg/ha);Valor da producao(R$X1000);Ano 
GR;Norte;544323;541698;1263892;2333;536929;2008
GR;Nordeste;3000081;2803989;4426576;1578;1811476;2008
GR;Sudeste;2351125;2331557;11406652;4892;4279292;2008
GR;Sul;5077162;5015114;24934542;4971;8793646;2008
GR;Centro-Oeste;3774558;3752224;16901685;4504;5324962;2008
UF;Rond�nia;135845;133852;305601;2283;111596;2008
UF;Acre;31850;31850;61088;1917;26055;2008
UF;Amazonas;11905;11905;29313;2462;15119;2008
UF;Roraima;6500;6400;12800;2000;7680;2008
UF;Par�;266410;265886;622414;2340;259259;2008
UF;Amap�;3190;3186;2406;755;1795;2008
UF;Tocantins;88623;88619;230270;2598;115424;2008
UF;Maranh�o;353045;353045;479728;1358;201538;2008
UF;Piau�;291127;282981;321390;1135;155948;2008
UF;Cear�;694054;675480;752882;1114;374855;2008
UF;Rio Grande do Norte;89886;73698;53771;729;31511;2008
UF;Para�ba;192868;180116;119202;661;55077;2008
UF;Pernambuco;303717;275402;178593;648;72685;2008
UF;Alagoas;80000;78000;52182;669;21815;2008
UF;Sergipe;170055;160455;584786;3644;180670;2008
UF;Bahia;825329;724812;1884042;2599;717378;2008
UF;Minas Gerais;1339843;1320275;6611100;5007;2601727;2008
UF;Esp�rito Santo;37292;37292;94641;2537;46132;2008
UF;Rio de Janeiro;8083;8083;19734;2441;9877;2008
UF;Guanabara;...;...;...;...;...;2008
UF;S�o Paulo;965907;965907;4681177;4846;1621556;2008
UF;Paran�;2975390;2926572;15613442;5335;5204213;2008
UF;Santa Catarina;715774;715774;4089215;5712;1553831;2008
UF;Rio Grande do Sul;1385998;1372768;5231885;3811;2035603;2008
UF;Mato Grosso do Sul;987680;967616;3675526;3798;976338;2008
UF;Mato Grosso;1832687;1830447;7799413;4260;2562022;2008
UF;Goi�s;905710;905680;5101543;5632;1672859;2008
UF;Distrito Federal;48481;48481;325203;6707;113743;2008
MU;Alta Floresta D'Oeste (RO);8100;8100;17820;2200;6561;2008
MU;Ariquemes (RO);2577;2577;5025;1949;1850;2008
MU;Cabixi (RO);5000;5000;15000;3000;5412;2008
